ID,Stop Name,Latitude,Longitude
178455143,Dun-Ard Garden,55.929901,-3.190693
178585606,Monkwood Court,55.932224,-3.192893
178549431,Grange Loan Gardens,55.930511,-3.192344
179486328,Morningside Station,55.926086,-3.209349
179497991,Springvalley Gardens,55.928082,-3.209443
179525680,Morningside Place,55.930244,-3.209814
179552375,Churchhill,55.932549,-3.210159
178445888,Grange Loan Gardens,55.930927,-3.190469
179500640,Churchhill,55.932236,-3.209252
179238450,Greenhill Gardens,55.933342,-3.204501
178998977,Whitehouse Loan,55.933807,-3.200193
178859556,Strathearn Road,55.934216,-3.197677
178668505,Thirlestane Road,55.935238,-3.194203
178687113,Spottiswoode Road,55.936108,-3.194486
178727133,Warrender Park Road,55.938602,-3.195059
178748566,Warrender Park Terrace,55.939865,-3.19537
178663064,Marchmont Crescent,55.936687,-3.194023
178571143,Roseneath Street,55.938206,-3.192293
178237338,Gladstone Terrace,55.939709,-3.18624
178460172,Sylvan Place,55.939682,-3.190225
179016802,Leven Terrace,55.941597,-3.200066
179157740,Brougham Street,55.943298,-3.202488
179564174,Holy Corner,55.934761,-3.210243
179521507,Bruntsfield Place,55.936089,-3.209404
179406437,Viewforth,55.93708,-3.20729
179263928,Whitehouse Loan,55.939774,-3.204588
179215068,Leven Street,55.941303,-3.203627
179226591,Home Street,55.942909,-3.203741
180418205,Ashley Terrace,55.931316,-3.22571
180283264,Polwarth Parish Church,55.934238,-3.223129
180121099,Polwarth Park,55.936371,-3.220107
179975018,Polwarth Crescent,55.937248,-3.217445
179825809,Merchiston Park,55.93858,-3.214701
179668559,Viewforth,55.939919,-3.211813
179549150,Leamington Terrace,55.940937,-3.20962
179318492,Lochrin Buildings,55.941753,-3.20545
179328004,Bread Street,55.945122,-3.205427
179360757,Usher Hall (Stop XA),55.946491,-3.205934
179432057,The Exchange (Stop XB),55.948051,-3.207119
179421691,Lothian Road (Stop XC),55.949215,-3.206867
178979974,Leven Terrace,55.941399,-3.199419
178420227,Sylvan Place,55.939751,-3.189507
178213931,Gladstone Terrace,55.939877,-3.185812
179155836,Glen Street,55.944363,-3.202393
178829199,Lauriston Building,55.944965,-3.19652
179311756,Princes Street (Stop PA),55.950718,-3.204816
179271252,Princes Street (Stop PB),55.950859,-3.204084
179228792,Princes Street (Stop PC),55.950966,-3.203319
179134415,Princes Street (Stop PD),55.951267,-3.201615
179098166,Princes Street (Stop PE),55.951374,-3.200961
179062889,Princes Street (Stop PF),55.951488,-3.200324
179044609,Frederick Street (Stop GE),55.952507,-3.199939
